objID,oh_p50
1.23765E+18,8.789074
1.23765E+18,8.13349
1.23765E+18,8.882136
1.23765E+18,8.909591
1.23765E+18,9.130043
1.23765E+18,9.003103
1.23765E+18,8.827192
1.23765E+18,9.142821
1.23765E+18,9.116529
1.23765E+18,9.091166
1.23765E+18,8.781999
1.23765E+18,8.44096
1.23765E+18,8.175824
1.23765E+18,9.062453
1.23765E+18,9.008677
1.23765E+18,8.983588
1.23765E+18,9.174652
1.23765E+18,9.051237
1.23765E+18,8.967594
1.23765E+18,8.847358
1.23765E+18,8.751006
1.23765E+18,9.06759
1.23765E+18,9.005286
1.23765E+18,8.991355
1.23765E+18,8.774769
1.23765E+18,9.018888
1.23765E+18,8.590981
1.23765E+18,8.886904
1.23765E+18,8.286169
1.23765E+18,9.005566
1.23765E+18,8.920427
1.23765E+18,8.671118
1.23765E+18,9.111347
1.23765E+18,8.867638
1.23765E+18,8.994226
1.23765E+18,9.005196
1.23765E+18,8.882094
1.23765E+18,9.009254
1.23765E+18,9.043405
1.23765E+18,9.003133
1.23765E+18,8.713743
1.23765E+18,9.042456
1.23765E+18,8.869928
1.23765E+18,8.976218
1.23765E+18,9.130213
1.23765E+18,8.962185
1.23765E+18,8.662904
1.23765E+18,9.006755
1.23765E+18,9.071786
1.23765E+18,9.047133
1.23765E+18,8.866575
1.23765E+18,9.009794
1.23765E+18,8.705412
1.23765E+18,9.088717
1.23765E+18,8.941607
1.23765E+18,8.979085
1.23765E+18,9.260791
1.23765E+18,9.077013
1.23765E+18,9.1582
1.23765E+18,8.867754
1.23766E+18,8.830544
1.23766E+18,8.727198
1.23766E+18,9.108789
1.23766E+18,8.94558
1.23766E+18,9.002172
1.23766E+18,8.857412
1.23766E+18,8.897218
1.23766E+18,9.127005
1.23766E+18,8.938062
1.23766E+18,8.605051
1.23766E+18,8.992366
1.23766E+18,9.121732
1.23766E+18,8.85052
1.23766E+18,9.048881
1.23766E+18,8.72664
1.23766E+18,8.991383
1.23766E+18,8.876503
1.23766E+18,8.92157
1.23766E+18,9.064127
1.23766E+18,8.99442
1.23766E+18,9.093922
1.23766E+18,9.063389
1.23766E+18,9.001239
1.23766E+18,8.833524
1.23766E+18,8.980884
1.23766E+18,8.920857
1.23766E+18,8.998505
1.23766E+18,8.34446
1.23766E+18,8.905452
1.23766E+18,9.22606
1.23766E+18,8.94147
1.23766E+18,8.459984
1.23766E+18,9.055024
1.23766E+18,8.824882
1.23766E+18,8.36611
1.23766E+18,9.135577
1.23766E+18,8.957915
1.23766E+18,8.98723
1.23766E+18,9.051866
1.23766E+18,8.32675
1.23766E+18,8.959743
1.23766E+18,9.092959
1.23766E+18,8.869719
1.23766E+18,8.639647
1.23766E+18,8.26393
1.23766E+18,9.004485
1.23766E+18,9.19171
1.23766E+18,9.010587
1.23766E+18,8.594869
1.23766E+18,8.659487
1.23766E+18,9.075858
1.23766E+18,8.964342
1.23766E+18,9.193522
1.23766E+18,8.994787
1.23766E+18,8.752015
1.23766E+18,9.047864
1.23766E+18,9.093821
1.23766E+18,8.522932
1.23766E+18,9.147204
1.23766E+18,8.99522
1.23766E+18,8.925121
1.23766E+18,8.991329
1.23766E+18,8.72768
1.23766E+18,9.004936
1.23766E+18,9.067414
1.23766E+18,9.042515
1.23766E+18,9.145297
1.23766E+18,8.804659
1.23766E+18,9.018294
1.23766E+18,8.583775
1.23766E+18,9.094548
1.23766E+18,8.940237
1.23766E+18,8.470813
1.23766E+18,9.055145
1.23766E+18,8.768227
1.23766E+18,8.826601
1.23766E+18,8.956972
1.23766E+18,9.162759
1.23766E+18,8.991126
1.23766E+18,8.964732
1.23766E+18,9.073265
1.23766E+18,9.089759
1.23766E+18,8.988214
1.23766E+18,9.074205
1.23766E+18,8.581787
1.23766E+18,8.922387
1.23766E+18,9.07703
1.23766E+18,9.047067
1.23766E+18,8.875885
1.23766E+18,9.043074
1.23766E+18,8.76787
1.23766E+18,9.165932
1.23766E+18,9.00109
1.23766E+18,9.007761
1.23766E+18,8.926393
1.23766E+18,9.063499
1.23766E+18,9.229451
1.23766E+18,8.708544
1.23766E+18,9.056168
1.23766E+18,8.470204
1.23766E+18,9.015055
1.23766E+18,8.545712
1.23766E+18,8.92866
1.23766E+18,9.072499
1.23766E+18,9.111374
1.23766E+18,8.955865
1.23766E+18,8.776357
1.23766E+18,9.00635
1.23766E+18,9.113776
1.23766E+18,8.989374
1.23766E+18,9.077166
1.23766E+18,8.975826
1.23766E+18,8.867343
1.23766E+18,9.129292
1.23766E+18,8.61659
1.23766E+18,9.109146
1.23766E+18,8.694222
1.23766E+18,8.761562
1.23766E+18,8.801383
1.23766E+18,9.052052
1.23766E+18,9.107883
1.23766E+18,8.978333
1.23766E+18,9.143393
1.23766E+18,8.813652
1.23766E+18,9.042121
1.23766E+18,8.930237
1.23766E+18,9.052209
1.23766E+18,8.690498
1.23766E+18,8.93668
1.23766E+18,9.169733
1.23766E+18,8.826962
1.23766E+18,8.937828
1.23766E+18,9.10227
1.23766E+18,8.778841
1.23766E+18,9.094431
1.23766E+18,9.049955
1.23766E+18,9.055533
1.23766E+18,8.477924
1.23766E+18,8.954046
1.23766E+18,8.942325
1.23766E+18,8.947921
1.23766E+18,8.653424
1.23766E+18,9.109754
1.23766E+18,8.777375
1.23766E+18,8.819486
1.23766E+18,8.6349
1.23766E+18,8.85071
1.23766E+18,8.869882
1.23766E+18,8.749052
1.23766E+18,8.90112
1.23766E+18,8.663215
1.23766E+18,8.246713
1.23766E+18,8.474061
1.23766E+18,9.113507
1.23766E+18,8.949086
1.23766E+18,8.907199
1.23766E+18,8.952116
1.23766E+18,9.001707
1.23766E+18,8.882809
1.23766E+18,8.749683
1.23766E+18,8.984756
1.23766E+18,9.09587
1.23766E+18,8.840515
1.23766E+18,9.113029
1.23766E+18,8.840715
1.23766E+18,8.588632
1.23766E+18,8.992033
1.23766E+18,9.109902
1.23766E+18,9.052497
1.23766E+18,8.662495
1.23766E+18,8.858249
1.23766E+18,8.341187
1.23766E+18,8.542356
1.23766E+18,9.142118
1.23766E+18,8.982841
1.23766E+18,9.056153
1.23766E+18,8.837146
1.23766E+18,9.014245
1.23766E+18,9.078603
1.23766E+18,8.923816
1.23766E+18,8.795284
1.23766E+18,8.994624
1.23766E+18,8.777369
1.23766E+18,8.922562
1.23766E+18,8.686016
1.23766E+18,8.711239
1.23766E+18,8.861278
1.23766E+18,9.056248
1.23766E+18,8.898383
1.23766E+18,9.091339
1.23766E+18,8.755769
1.23766E+18,8.853364
1.23766E+18,8.895761
1.23766E+18,8.657909
1.23766E+18,8.979359
1.23766E+18,8.873014
1.23766E+18,8.973666
1.23766E+18,9.054726
1.23766E+18,8.29119
1.23766E+18,9.135648
1.23766E+18,8.80639
1.23767E+18,8.724266
1.23767E+18,8.952732
1.23767E+18,8.903727
1.23767E+18,8.950174
1.23767E+18,8.928844
1.23767E+18,9.001634
1.23767E+18,8.852456
1.23767E+18,9.011508
1.23767E+18,9.012462
1.23767E+18,9.097048
1.23767E+18,8.827669
1.23767E+18,8.873734
1.23767E+18,9.053899
1.23767E+18,8.911674
1.23767E+18,8.533936
1.23767E+18,8.802054
1.23767E+18,8.676525
1.23767E+18,9.00806
1.23767E+18,8.558042
1.23767E+18,9.131202
1.23767E+18,8.953867
1.23767E+18,8.940876
1.23767E+18,8.942863
1.23767E+18,8.840354
1.23767E+18,8.913145
1.23767E+18,8.912045
1.23767E+18,8.823326
1.23767E+18,8.833179
1.23767E+18,8.944113
1.23767E+18,8.877349
1.23767E+18,8.972782
1.23767E+18,9.092963
1.23767E+18,9.008768
1.23767E+18,9.067503
1.23767E+18,9.028255
1.23767E+18,9.117767
1.23767E+18,8.674203
1.23767E+18,8.952654
1.23767E+18,9.050318
1.23767E+18,8.732539
1.23767E+18,8.737065
1.23767E+18,8.969139
1.23767E+18,9.100656
1.23767E+18,8.930525
1.23767E+18,9.11157
1.23767E+18,8.932017
1.23767E+18,9.106344
1.23767E+18,8.869691
1.23767E+18,8.865267
1.23767E+18,8.694521
1.23767E+18,8.702225
1.23767E+18,9.126294
1.23767E+18,8.936909
1.23767E+18,9.05285
1.23767E+18,8.93541
1.23767E+18,8.951163
1.23767E+18,9.082838
1.23767E+18,8.30888
1.23767E+18,8.724795
1.23767E+18,8.871605
1.23767E+18,8.945429
1.23767E+18,9.091952
1.23767E+18,8.952188
1.23767E+18,8.715731
1.23767E+18,9.053658
1.23767E+18,8.30442
1.23767E+18,8.941317
1.23767E+18,8.992286
1.23767E+18,9.114821
1.23767E+18,9.13393
1.23767E+18,8.932764
1.23767E+18,8.879859
1.23767E+18,8.862042
1.23767E+18,8.935305
1.23767E+18,9.000082
1.23767E+18,8.993426
1.23767E+18,8.784991
1.23767E+18,8.991441
1.23767E+18,8.480345
1.23767E+18,9.124706
1.23767E+18,8.980142
1.23767E+18,8.868307
1.23767E+18,8.553203
1.23767E+18,8.933589
1.23767E+18,8.879272
1.23767E+18,8.687474
1.23767E+18,8.866179
1.23767E+18,8.927433
1.23767E+18,8.703787
1.23767E+18,8.565167
1.23767E+18,8.301184
1.23767E+18,8.989337
1.23767E+18,8.832575
1.23767E+18,8.776268
1.23767E+18,8.757974
1.23767E+18,8.951683
1.23767E+18,8.824617
1.23767E+18,8.972486
1.23767E+18,9.015741
1.23767E+18,8.989969
1.23767E+18,8.972156
1.23767E+18,9.094722
1.23767E+18,8.926149
1.23767E+18,9.070329
1.23767E+18,9.059623
1.23767E+18,9.010634
1.23767E+18,8.396607
1.23767E+18,8.716768
1.23767E+18,9.085238
1.23767E+18,8.600307
1.23767E+18,8.956573
1.23767E+18,8.864796
1.23767E+18,8.668883
1.23767E+18,8.965332
1.23767E+18,8.98479
1.23767E+18,8.836103
1.23767E+18,8.972872
1.23767E+18,9.112085
1.23767E+18,9.005509
1.23767E+18,9.009077
1.23767E+18,8.486868
1.23767E+18,8.925796
1.23767E+18,8.864071
1.23767E+18,9.090129
1.23767E+18,8.970658
1.23767E+18,8.993734
1.23767E+18,9.003902
1.23767E+18,8.828223
1.23767E+18,8.959539
1.23767E+18,8.869
1.23767E+18,9.104471
1.23767E+18,8.611806
1.23767E+18,9.11294
1.23767E+18,8.560637
1.23767E+18,8.693354
1.23767E+18,8.3887
1.23767E+18,8.82034
1.23767E+18,8.95159
1.23767E+18,8.950423
